receiver_i,confidence,entropy_norm,margin,correct,label_i
2,0.3497738242149353,0.5622183680534363,0.042617231607437134,False,1
4,0.40925562381744385,0.5293636918067932,0.19828800857067108,True,0
8,0.9992802739143372,0.002275745617225766,0.9989158511161804,True,1
17,0.9999513626098633,0.0002039354294538498,0.9999371767044067,True,1
19,0.7444725036621094,0.2710689306259155,0.6003741025924683,True,1
26,0.9999862909317017,6.168936670292169e-05,0.9999805688858032,True,1
33,0.8792287707328796,0.1301533281803131,0.762875497341156,False,1
35,0.9999825954437256,7.462094072252512e-05,0.9999697208404541,True,1
41,0.968598484992981,0.0491628497838974,0.939167320728302,True,1
42,0.7357919216156006,0.3788207173347473,0.6686168909072876,True,1
45,0.999997615814209,1.1849669135699514e-05,0.9999957084655762,True,1
47,0.9984530210494995,0.004413279239088297,0.9977544546127319,True,1
74,0.9994469285011292,0.001852452289313078,0.9992189407348633,True,1
95,0.9999940395355225,2.8335016395431012e-05,0.999991238117218,True,1
100,0.9710999727249146,0.05499064177274704,0.9582400918006897,True,1
108,0.9944414496421814,0.012518934905529022,0.9898027777671814,True,1
113,0.4092654585838318,0.4109862446784973,0.11139124631881714,False,1
120,0.4389466643333435,0.5345490574836731,0.22048413753509521,True,2
129,0.7175474762916565,0.31147652864456177,0.5677563548088074,True,1
131,0.9961334466934204,0.010498607531189919,0.9945104122161865,True,1
135,0.8928382992744446,0.13119596242904663,0.797538697719574,False,2
140,0.9783530235290527,0.036644820123910904,0.9577232003211975,False,1
141,0.9999997615814209,1.1343770438543288e-06,0.9999995827674866,True,1
143,0.9846653342247009,0.030691199004650116,0.9749768972396851,True,1
169,0.978652834892273,0.044947829097509384,0.9683063626289368,True,1
171,0.9887964725494385,0.02360543981194496,0.9803895950317383,True,1
172,0.9998315572738647,0.0006029519136063755,0.9997251033782959,True,1
176,0.7739945650100708,0.23900087177753448,0.5964623689651489,True,1
178,0.6949266195297241,0.34354332089424133,0.5415776968002319,True,1
179,0.9748088121414185,0.049935854971408844,0.9622671604156494,True,1
180,0.9943555593490601,0.012166671454906464,0.9890438914299011,True,1
181,0.6126871705055237,0.3913779854774475,0.3766883313655853,True,0
183,0.9999963045120239,1.752762727846857e-05,0.9999929666519165,True,1
186,0.9009854793548584,0.12405028939247131,0.8128592371940613,True,1
194,0.45550957322120667,0.4251681864261627,0.08913761377334595,True,0
198,0.8942281007766724,0.1327524036169052,0.8057612180709839,True,0
200,0.9815793037414551,0.04019905999302864,0.9762080907821655,False,1
214,0.4410974085330963,0.5808525085449219,0.2805994153022766,True,1
223,0.9997708201408386,0.0008231204119510949,0.999661922454834,True,1
237,0.49964240193367004,0.48478183150291443,0.2501837909221649,True,1
239,0.7751715183258057,0.20120476186275482,0.5641290545463562,False,1
253,0.9899123311042786,0.0239290501922369,0.9843462109565735,True,1
263,0.9861656427383423,0.03411567211151123,0.9834743142127991,False,2
270,0.9999979734420776,9.933885849022772e-06,0.9999961256980896,True,1
292,0.9988443851470947,0.0031176770571619272,0.9977770447731018,True,1
296,0.9966109395027161,0.008862695656716824,0.9946410059928894,True,1
298,0.9880906343460083,0.02604834921658039,0.9808777570724487,True,0
303,0.7839927077293396,0.2392088770866394,0.6379441022872925,True,1
304,0.758194625377655,0.19577601552009583,0.5220298767089844,True,1
306,0.9992807507514954,0.0022414352279156446,0.9988834261894226,True,1
316,0.9989810585975647,0.002971712267026305,0.9982039332389832,True,1
318,0.9068779349327087,0.1411055028438568,0.8489255309104919,True,0
319,0.8374596238136292,0.24346986413002014,0.7599359750747681,True,1
329,0.9915733933448792,0.018817782402038574,0.9868358969688416,True,1
331,0.9079486131668091,0.1530604213476181,0.8707966208457947,True,0
339,0.9997290968894958,0.000966254563536495,0.9996131062507629,True,1
341,0.9999961853027344,1.7144267985713668e-05,0.9999926686286926,True,1
346,0.5375378727912903,0.30373358726501465,0.1308160126209259,False,0
349,0.8770986199378967,0.21393288671970367,0.8470348119735718,False,2
351,0.4227566123008728,0.45377981662750244,0.08255735039710999,False,0
354,0.47794273495674133,0.4972043037414551,0.23791112005710602,True,2
364,0.8037629723548889,0.27141955494880676,0.7383460998535156,True,0
374,0.9999237060546875,0.0002947692119050771,0.9998827576637268,True,1
375,0.6014291644096375,0.3665749430656433,0.37128663063049316,False,0
386,0.9718326926231384,0.054170988500118256,0.9602014422416687,True,1
412,0.9324414730072021,0.08836685866117477,0.8685065507888794,True,1
421,0.694914698600769,0.2900920808315277,0.47002464532852173,True,2
424,0.993096649646759,0.01753743551671505,0.989761471748352,True,1
426,0.9797483086585999,0.04072948917746544,0.9701237082481384,True,1
433,0.9996813535690308,0.001003982499241829,0.9994009733200073,True,1
441,0.9997796416282654,0.0008080253028310835,0.9996933937072754,True,1
453,0.8880331516265869,0.16254909336566925,0.8358540534973145,True,0
457,0.9999690055847168,0.00012624869123101234,0.9999494552612305,True,1
465,0.9852574467658997,0.03093385510146618,0.9757513999938965,True,1
471,0.9999730587005615,0.00011234768317081034,0.9999600648880005,True,1
483,0.9996111989021301,0.0013237817911431193,0.9994210600852966,True,1
487,0.9020184278488159,0.12489528208971024,0.8166568279266357,True,0
488,0.9999004602432251,0.0003696253406815231,0.9998255968093872,True,1
494,0.9969308972358704,0.007263276260346174,0.9941005706787109,True,1
495,0.9989311099052429,0.0031635365448892117,0.9981998205184937,True,1
